gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2802037709	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848682647	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Lone Mountain.2	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.983	-70.3642							2019-06-04T00:00:00	4	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848682647				CC0_1_0		obsr948152			2020-09-08T21:42:50.152Z		
2801884551	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_CAN:OBS939426781	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		CA	Parcelle d'atlas 19CP11	Quebec	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	47.9667	-71.4833							2011-07-13T00:00:00	13	7	2011	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_CAN	OBS939426781				CC0_1_0		obsr56301			2020-09-08T21:30:00.613Z		
2801742724	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848689754	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Osceola.1	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	43.9972	-71.5465							2019-06-28T00:00:00	28	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848689754				CC0_1_0		obsr948152			2020-09-08T21:32:49.184Z		
2801667561	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848686700	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	North Carter.1	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.3112	-71.1836							2019-06-18T00:00:00	18	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848686700				CC0_1_0		obsr948152			2020-09-08T21:29:52.243Z		
2801662308	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848687322	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mount Jefferson West.1	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.3141	-71.3297							2019-06-24T00:00:00	24	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848687322				CC0_1_0		obsr948152			2020-09-08T21:31:14.112Z		
2801653753	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS849422271	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Isolation.1	New Hampshire	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2135	-71.3082							2019-06-10T00:00:00	10	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS849422271				CC0_1_0		obsr948152			2020-09-08T21:30:06.311Z		
2801545267	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS927567865	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Wildcat Mt. Ski Area, Pinkhams Grant	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2642	-71.2395							2012-06-10T00:00:00	10	6	2012	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS927567865				CC0_1_0		obsr175811			2020-09-08T21:43:56.652Z		
2801533187	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS907054535	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mt. Washington	New Hampshire	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2713	-71.303							2019-06-11T00:00:00	11	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS907054535				CC0_1_0		obsr1461460			2020-09-08T21:33:27.491Z		
2801231481	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848660356	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Worcester West.1	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.4288	-72.6214							2019-06-12T00:00:00	12	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848660356				CC0_1_0		obsr948152			2020-09-08T21:33:22.016Z		
2801175325	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848652220	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Whiteface North New York.3	New York	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.3694	-73.9033							2019-06-26T00:00:00	26	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848652220				CC0_1_0		obsr948152			2020-09-08T21:33:14.595Z		
